"","M_vs_WT_baseMean","M_vs_WT_log2fc","M_vs_WT_padj","lfcShrink","S_vs_WT_baseMean","S_vs_WT_log2fc","S_vs_WT_padj"
"ENSDARG00000000001",38.0095687455554,-0.108788758523155,0.664956388814255,TRUE,38.0095687455554,-0.217904848619443,0.396522569291736
"ENSDARG00000000002",485.444934248076,-0.144897321199253,0.512081878000884,TRUE,485.444934248076,-0.0666256729441271,0.744579368846963
"ENSDARG00000000018",219.321824718549,0.00362315556124746,0.992232916465962,TRUE,219.321824718549,0.45178354677446,0.00698567341331015
"ENSDARG00000000019",582.168379128189,-0.0344658593516542,0.871885459197536,TRUE,582.168379128189,-0.105938315054037,0.378946663338996
"ENSDARG00000000068",949.634108784105,-0.00996952249977619,0.972271349374013,TRUE,949.634108784105,0.101350720084004,0.526313088673128
"ENSDARG00000000069",506.36635721548,0.116485183370123,0.521088692705957,TRUE,506.36635721548,0.370317253221739,0.00437911699384284
"ENSDARG00000000086",297.195119863075,-0.0408960933927732,0.863528172409576,TRUE,297.195119863075,-0.0274731638556296,0.86052472668975
"ENSDARG00000000103",1225.64601876719,0.0684985973327355,0.668921251431768,TRUE,1225.64601876719,0.130511932043104,0.203516015548416
"ENSDARG00000000142",36.9077748208622,-0.0481848353622986,0.869706093874835,TRUE,36.9077748208622,-0.235981426824921,0.27201039970585
"ENSDARG00000000151",106.824101119117,-0.475845769858118,0.0601054970963306,TRUE,106.824101119117,0.023679597471175,0.933976765640374
"ENSDARG00000000161",91.0722508727393,0.0703920110428457,0.793475294564789,TRUE,91.0722508727393,-0.359113451731491,0.0848654527890306
"ENSDARG00000000175",18.586810569201,0.0831733043399349,0.743390729449079,TRUE,18.586810569201,-0.557330465580118,0.0726909529100776
"ENSDARG00000000183",150.075107750298,0.0848987473175549,0.747458763965003,TRUE,150.075107750298,0.0612674771699996,0.827773447442237
"ENSDARG00000000189",393.042532263216,-0.0506036893922539,0.82046108504298,TRUE,393.042532263216,-0.512900560348094,8.25747203153044e-05
